Trivial name|Smiles|Batch No|Conc uM|Relative cell count|Induction|Cluster AKT/PI3K/MTOR|Cluster Aurora|Cluster BET|Cluster DNA synthesis|Cluster HDAC|Cluster HSP90|Cluster L/CH|Cluster MitoStress|Cluster Na+/K+ ATPase|Cluster Protein synthesis|Cluster Pyrimidine synthesis|Cluster Tubulin|Cluster Uncoupling||
SB 203580|CS(=O)c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1|1|10|96|6.9|46|0|7.9|15.6|11.5|31.9|29.8|26.8|0|7.6|0|17.8|29.9||
AM580|CC1(C)CCC(C)(C)c2cc(C(=O)Nc3ccc(C(=O)O)cc3)ccc21|1|10|100|7.1|0|0|41.8|0|38|0|33|47.6|22.6|38.6|0|41.2|28.9||
CD437|O=C(O)c1ccc2cc(-c3ccc(O)c(C45CC6CC(CC(C6)C4)C5)c3)ccc2c1|1|10|74|31.1|65.7|0|0|92.4|0|1.8|0|35|0|0|63.2|0|0.2||
EC 23|CC1(C)CCC(C)(C)c2cc(C#Cc3ccc(C(=O)O)cc3)ccc21|1|10|94|6.7|10.7|0|33.2|0|33.4|5|24.6|26.7|8.1|41.2|0|30.4|42.6||
Y-27632 dihydrochloride|C[C@H](N)[C@H]1CC[C@H](C(=O)Nc2ccncc2)CC1|1|10|97|5.5|49.7|0|0|43.6|0|28.1|21|42.7|0|0.7|31.5|0|9.3||
SR 3677 dihydrochloride|CN(C)CCOc1cc(-c2cn[nH]c2)ccc1NC(=O)C1COc2ccccc2O1|1|10|88|33.5|0|0|59.6|0|72.1|26.3|75.3|15.4|41.7|31.3|0|53.4|48.6||
GSK429286A|CC1=C(C(=O)Nc2cc3cn[nH]c3cc2F)C(c2ccc(C(F)(F)F)cc2)CC(=O)N1|2|2|102|15.4|71.1|0|0|66.3|0|13.2|0|14.7|0|0|60.5|0|10.5||
GSK429286A|CC1=C(C(=O)Nc2cc3cn[nH]c3cc2F)C(c2ccc(C(F)(F)F)cc2)CC(=O)N1|3|2|97|16.8|59.5|0|0|52.3|0|23.1|3.7|18.6|0|0|44|0|15.5||
GSK429286A|CC1=C(C(=O)Nc2cc3cn[nH]c3cc2F)C(c2ccc(C(F)(F)F)cc2)CC(=O)N1|4|2|98|15.5|54.4|0|0|42.2|0|32.2|21.8|9.3|0|2.8|29|0|26.2||
SB-431542|NC(=O)c1ccc(-c2nc(-c3ccc4c(c3)OCO4)c(-c3ccccn3)[nH]2)cc1|2|6|98|9.8|0|0|65.8|0|67.5|19.8|43.4|3.8|55.5|44|0|68|27.2||
SB-431542|NC(=O)c1ccc(-c2nc(-c3ccc4c(c3)OCO4)c(-c3ccccn3)[nH]2)cc1|2|10|105|8.8|0|0|52.7|0|52.5|23.9|36.4|18|47.4|40.3|0|55.2|12.7||
GW788388|O=C(NC1CCOCC1)c1ccc(-c2cc(-c3c[nH]nc3-c3ccccn3)ccn2)cc1|2|30|96|11.6|0|0|59.6|0|58.7|47.6|79.9|37.2|15.9|38.9|0|67.4|46.6||
GW788388|O=C(NC1CCOCC1)c1ccc(-c2cc(-c3c[nH]nc3-c3ccccn3)ccn2)cc1|2|50|98|29.5|9.3|0|58.3|0|58.8|56.8|76.1|48.6|9.4|48.1|0|65.9|55.9||
ID-8|COc1ccc(-n2c(C)c([N+](=O)[O-])c3ccc(O)cc32)cc1|1|10|96|8.3|10.8|46.2|0|74|0|24.4|3.3|47.1|0|0|38.4|2.1|0||
8-Bromo-cAMP, sodium salt|Nc1ncnc2c1nc(Br)n2[C@@H]1O[C@@H]2COP(=O)(O)O[C@H]2[C@H]1O|1|10|101|5.2|27.8|0|21.9|0|26.8|53.4|14.6|1.4|0|50.7|0|26.9|51.8||
BIO-acetoxime|CC(=O)O/N=C1C(=C2\C(=O)Nc3cc(Br)ccc32)/Nc2ccccc2/1|1|10|74|46.6|32.6|0|29.8|0|24.7|68.4|36.6|58.5|10.6|41|0|52.7|50.1||
CHIR-99021|Cc1c[nH]c(-c2cnc(NCCNc3ccc(C#N)cn3)nc2-c2ccc(Cl)cc2Cl)n1|1|10|93|74.6|0|0.3|73.5|0|70.1|24.3|65.5|38.1|38.7|66.4|0|79.3|44.2||
CHIR-99021|Cc1c[nH]c(-c2cnc(NCCNc3ccc(C#N)cn3)nc2-c2ccc(Cl)cc2Cl)n1|2|1|100|6.6|0|3.1|58.5|0|49.4|0|31|6.9|52.7|53.1|0|61.1|23||
CHIR-99021|Cc1c[nH]c(-c2cnc(NCCNc3ccc(C#N)cn3)nc2-c2ccc(Cl)cc2Cl)n1|2|3|105|55.4|0|6.3|79.1|0|73.7|0|57.1|0|52.6|70.3|0|77|41.3||
CHIR-99021|Cc1c[nH]c(-c2cnc(NCCNc3ccc(C#N)cn3)nc2-c2ccc(Cl)cc2Cl)n1|2|10|87|69.9|0|0|60.9|0|57.3|35.9|57.5|52.8|22.8|66.3|0|72.9|42.6||
CHIR-99021|Cc1c[nH]c(-c2cnc(NCCNc3ccc(C#N)cn3)nc2-c2ccc(Cl)cc2Cl)n1|2|10|97|70.8|0|0|70.1|0|66.9|25.5|61.2|43.1|37.8|64.1|0|76.7|42.5||
Ceramide|CCCCCCCCCCCCC/C=C/[C@H](O)[C@H](CO)NC(C)=O|1|10|106|10.4|0|0|83.1|0|81.5|13.8|76.9|0|45.2|62.5|0|67.9|74||
Neurodazine|COc1ccc(-c2nc(-c3ccc(-c4cccc(Cl)c4)o3)[nH]c2-c2ccc(OC)cc2)cc1|1|10|97|31.8|0|0|55.1|0|56.4|30|61.1|37.4|6.4|38.5|0|59.4|34.5||
IQ 1|CC(=O)c1ccc(/N=N/C(C(N)=O)=C2/NC(C)(C)Cc3ccccc32)cc1|1|10|88|30.7|69|0|0|91.5|0|9.5|0|39.7|0|0|89.6|0|0||
Thiazovivin|O=C(NCc1ccccc1)c1csc(Nc2ccncn2)n1|1|10|89|29.5|14.7|0|36.6|0|57.2|48.7|45.6|3.5|26.7|44.2|0|34|50.3||
Thiazovivin|O=C(NCc1ccccc1)c1csc(Nc2ccncn2)n1|2|2|98|15.5|66.1|0|0|55.9|0|26.1|2.6|17.5|0|8.2|38.6|0|27.6||
Thiazovivin|O=C(NCc1ccccc1)c1csc(Nc2ccncn2)n1|3|2|97|6.6|41.8|0|0|20.5|5.4|49|24.1|0|0|0|20.4|0|15.7||
Thiazovivin|O=C(NCc1ccccc1)c1csc(Nc2ccncn2)n1|3|6|94|16.2|7.4|0|29|0|48.1|29|39.5|7.9|31.8|12.8|0|22.2|32.9||
Thiazovivin|O=C(NCc1ccccc1)c1csc(Nc2ccncn2)n1|3|10|97|28.8|0|0|40.7|0|61.4|19.4|37.6|0|42.4|24.6|0|28.3|33.4||
RepSox|Cc1cccc(-c2n[nH]cc2-c2ccc3ncccc3n2)n1|1|10|98|5|0|47.5|21.3|3.1|20.1|15.9|26.8|38.4|9.5|25.1|0|47.6|0||
RepSox|Cc1cccc(-c2n[nH]cc2-c2ccc3ncccc3n2)n1|3|10|98|19.2|0|0|62.6|0|60.8|18.5|76.5|36|25|36|0|68.8|50.5||
RepSox|Cc1cccc(-c2n[nH]cc2-c2ccc3ncccc3n2)n1|4|2|98|9.2|0|16.1|52.1|0|53.8|15.1|23.8|0|44.2|46.4|0|61.3|24.3||
RepSox|Cc1cccc(-c2n[nH]cc2-c2ccc3ncccc3n2)n1|4|6|100|10.4|0|22.4|55|0|55.4|23|47.7|20.1|30.3|51.5|0|68.7|27.6||
Ponatinib|Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cccnn12|2|0.2|95|28.5|74.8|0|0|42.2|0|58.5|28.2|44|0|0|27.3|9|29.2||
Ponatinib|Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cccnn12|2|2|63|64.6|0|0|83.3|0|79.6|28.3|93.3|35.8|46.4|50.7|0|81.5|58.9||
Ponatinib|Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cccnn12|3|1|75|38.9|20.6|0|50.6|0|47.7|50.4|70.8|68.6|11.5|30.6|0|65|53.8||
Ponatinib|Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cccnn12|4|1|73|69.3|0|0|70.6|0|71.1|34.6|74|39.6|33|61.8|0|73.1|44.8||
GANT 58|c1cc(-c2sc(-c3ccncc3)c(-c3ccncc3)c2-c2ccncc2)ccn1|2|10|99|7.6|35.8|17.2|0|71.3|0|0|0|34.3|0|0|83|0|0||
(±)-Blebbistatin|Cc1ccc2c(c1)C(=O)C1(O)CCN(c3ccccc3)C1=N2|1|10|93|7.3|0|11.9|0|14.5|12.8|33.9|14.6|21.5|0|5.4|12.8|4.8|0||
WIKI4|COc1ccc(-n2c(SCCCN3C(=O)c4cccc5cccc(c45)C3=O)nnc2-c2ccncc2)cc1|1|10|98|6.2|0|0|40.1|0|37.9|30.5|52.1|71.2|12.6|29.6|0|48|17.7||
Aumitin|Cc1cc(Nc2ccccc2)nc(Nc2ccc(NC(=O)c3ccccc3Cl)cc2)n1|2|10|96|60.4|0|0|81.8|0|77.4|21.5|91.6|32.6|32.9|47.2|0|73.8|63.9||
Aumitin|Cc1cc(Nc2ccccc2)nc(Nc2ccc(NC(=O)c3ccccc3Cl)cc2)n1|2|30|61|68.6|0|0|83.5|0|81.3|9.2|92.6|12.3|44.2|48.3|0|72.8|62.4||
Aumitin|Cc1cc(Nc2ccccc2)nc(Nc2ccc(NC(=O)c3ccccc3Cl)cc2)n1|2|50|56|74.4|0|0|87.4|0|90|19|74.4|0|61.3|56.2|0|80.5|75.9||
Aumitin|Cc1cc(Nc2ccccc2)nc(Nc2ccc(NC(=O)c3ccccc3Cl)cc2)n1|3|10|98|25.7|0|0|57.9|0|57.3|23.5|86.6|52.5|16.7|12|0|56.9|36.8||
Aumitin|Cc1cc(Nc2ccccc2)nc(Nc2ccc(NC(=O)c3ccccc3Cl)cc2)n1|4|3|95|20|0|0|46.6|0|56|48.7|58.8|43.5|12.1|23.9|0|50.7|31.8||
Aumitin|Cc1cc(Nc2ccccc2)nc(Nc2ccc(NC(=O)c3ccccc3Cl)cc2)n1|4|10|93|69.8|0|0|79.7|0|79.1|17.3|94.8|40.9|34.4|44.6|0|72.8|49.6||
BAY-876|Cc1c(NC(=O)c2cc(C(N)=O)nc3cc(F)ccc23)c(C(F)(F)F)nn1Cc1ccc(C#N)cc1|1|0.2|79|50.1|0|0|73|0|71.8|2.2|73.1|10.3|58|52|0|75.3|61.3||
BAY-876|Cc1c(NC(=O)c2cc(C(N)=O)nc3cc(F)ccc23)c(C(F)(F)F)nn1Cc1ccc(C#N)cc1|2|2|98|6|29.3|17.8|0|67.6|0|2.3|0|9.8|0|0|61.2|0|0||
BAY-876|Cc1c(NC(=O)c2cc(C(N)=O)nc3cc(F)ccc23)c(C(F)(F)F)nn1Cc1ccc(C#N)cc1|2|6|85|5.9|16.8|0|0|22.8|0|16.7|8|0|0|0|22.5|0|0||
BAY-876|Cc1c(NC(=O)c2cc(C(N)=O)nc3cc(F)ccc23)c(C(F)(F)F)nn1Cc1ccc(C#N)cc1|2|6|88|10.9|39.4|0|0|59.5|0|37.1|3.9|39.1|0|0|45.3|0|0||
BAY-876|Cc1c(NC(=O)c2cc(C(N)=O)nc3cc(F)ccc23)c(C(F)(F)F)nn1Cc1ccc(C#N)cc1|2|10|97|10.2|4.4|3.6|1|20.3|0|35.4|24.9|35.4|0|0|15.6|16.7|0||
PIK-93|CC(=O)Nc1nc(C)c(-c2ccc(Cl)c(S(=O)(=O)NCCO)c2)s1|1|10|97|37.7|49.5|0|51.2|0|45.7|23.1|73|37.2|4.9|41|0|48.9|70.9||
PIK-93|CC(=O)Nc1nc(C)c(-c2ccc(Cl)c(S(=O)(=O)NCCO)c2)s1|2|0.2|96|28.8|0|0|85.3|0|81.6|3.1|85.5|17.1|49.4|55.8|0|75.6|58.6||
PIK-93|CC(=O)Nc1nc(C)c(-c2ccc(Cl)c(S(=O)(=O)NCCO)c2)s1|2|2|97|26.3|0|0|78.6|0|72.4|13.9|85.1|40.1|33.6|54.7|0|73.6|69.6||
PIK-93|CC(=O)Nc1nc(C)c(-c2ccc(Cl)c(S(=O)(=O)NCCO)c2)s1|2|2|94|26.8|0|0|87.4|0|80.3|5.4|82.4|1.7|46.8|65.9|0|74.8|70.4||
T-00127-HEV1|COc1ccc(-c2c(C)nn3c(NCCN4CCOCC4)cc(C)nc23)cc1OC|1|2|97|34.7|0|0|90|0|84.9|0|82.3|15|55|69.7|0|81.8|62.4||
T-00127-HEV1|COc1ccc(-c2c(C)nn3c(NCCN4CCOCC4)cc(C)nc23)cc1OC|1|10|104|38.3|0|0|89|0|82.6|6.9|86.1|29.7|45.3|63.9|0|79.4|68.1||
Chromopynone-1|CCOc1cccc2c1O[C@]1(C)C[C@H]2NC(=O)N1c1cccc(C(=O)NCCc2ccc(C)cc2)c1|1|10|85|9|30.4|0|0|41|0|49.7|4.9|47.5|0|0|45.2|9.1|0||
SAR405|C[C@@H]1COCCN1c1cc(=O)n2c(n1)N(Cc1cncc(Cl)c1)[C@H](C(F)(F)F)CC2|1|10|95|21.6|0|0|66.1|0|67.1|24.4|77.4|67.4|28.3|45.6|0|72.3|39.1||
SAR405|C[C@@H]1COCCN1c1cc(=O)n2c(n1)N(Cc1cncc(Cl)c1)[C@H](C(F)(F)F)CC2|2|10|88|47.3|0|0|75.1|0|73.1|18.3|91|46.5|34.3|48.2|0|73.6|61.6||
|CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5ccccc5)c(Cl)c4)c3c2)o1|1|2|90|9.5|0|0|47.8|0|56|38.4|69.5|66.4|12.6|33.7|0|55.5|29.7||
|COc1ccccc1C1=C(Nc2ccccc2)C(=O)NC1=O|1|2|98|10.4|59.9|0|0|78.5|0|0|0|25.4|0|0|80.6|0|0||
|N#Cc1ccc(Oc2nccc(-c3c(-c4ccc(F)cc4)ncn3C3CCNCC3)n2)cc1|1|2|100|7.3|0|0|14.3|29.3|8.1|21.1|44|75.5|0|0|3.2|31.7|0||
|O=C(Nc1ccc(Oc2ccc3[nH]c(NC(=O)c4ccco4)nc3c2)cc1)Nc1cc(C(F)(F)F)ccc1F|1|2|98|11.9|50.1|0|0.2|22|3.5|50.1|29.3|39.1|0|22.4|1.4|19.2|25.2||
|Cc1cc(C)cc(Oc2nccc(-c3c(-c4ccc(F)cc4)ncn3C3CCNCC3)n2)c1|1|2|100|11.1|26.4|0|20.8|16.8|18.8|20.8|57.3|71.6|0|0|5.7|24.6|9||
|CC(=O)N1CCN(c2ccc(Nc3nccc(-c4sc(C(C)C)nc4-c4cccc(NS(=O)(=O)c5cccc(Cl)c5)c4)n3)cn2)CC1|1|2|90|39.2|0.9|0|74.6|0|66.6|31.8|74.8|39.5|41.3|66.1|0|81.7|76.3||
|COC(=O)Nc1nc2cc(Oc3ccc(NC(=O)Nc4cc(C(F)(F)F)ccc4Cl)cc3)ccc2[nH]1|1|2|86|15.5|0|21.9|59.3|0|62|34.9|68.2|23.1|51|33.5|0|84.7|32.5||
|CCn1c(-c2nonc2N)nc2cncc(Br)c21|1|2|91|7.1|43|1|0|60.7|0|0|0|0|0|0|64.8|0|0||
|CN(C)CCOc1ccc(-c2cc(-c3c[nH]nc3-c3ccccn3)ccn2)cc1|1|2|100|6.7|0|5.1|63.5|0|60.1|4.2|37.9|0|53|53.2|0|70|35.7||
|CC(C)Oc1ccc2c(-c3ccnc(Nc4ccc(N5CCN(C)CC5)cc4)n3)cnn2n1|1|2|87|23|72.8|0|0|68.9|0|23.3|18.5|55.1|0|0|48.5|0|21||
|Cc1cccc(-c2nc(Nc3ccc4c(cnn4C)c3)c3ccccc3n2)n1|1|0.2|94|19.2|0.3|0.3|10.6|0|7|30|26.2|81.1|9.9|16.8|0|24.6|0||
|Cc1cccc(-c2nc(Nc3ccc4c(cnn4C)c3)c3ccccc3n2)n1|1|2|92|30.4|3.3|0.5|8.8|12.1|4.1|27.9|29|95.9|6.1|12.9|0|24.1|0||
|O=C(Nc1[nH]nc2cc(-c3ccoc3)ccc12)C1CC1|1|2|95|6.4|0|27.2|14|38.1|0|0|17|39.8|0|3.7|0|42.5|0||
|CN(C)CC(O)COc1ccc(Nc2nccc(-c3cnn4nc(N5CCOCC5)ccc34)n2)cc1|1|0.2|98|7.4|34.5|3.8|0|85|0|0|5.9|53.2|0|0|49.2|0|0||
|CN(C)CC(O)COc1ccc(Nc2nccc(-c3cnn4nc(N5CCOCC5)ccc34)n2)cc1|1|2|73|54.7|48.2|0|0|61.3|0|0|31.5|33.2|0|0|26.7|0|13.5||
|C[C@@H](Oc1cc(-n2cnc3cc(-c4ccnc(N5CCN(C)CC5)c4)ccc32)sc1C(N)=O)c1ccccc1Cl|1|2|53|66.8|0|29.3|63.4|0|71.2|15.9|72.8|39.9|41.6|61.6|0|68.3|28.7||
|Cc1csc(-c2nc(Nc3ccncc3)c3ccccc3n2)n1|1|0.2|100|9.8|0|5.3|58.3|0|60.1|0|27.1|0|57.8|32.5|0|56.8|21.6||
|Nc1nccc(-c2c(-c3ccc(F)cc3)ncn2C2CCN(Cc3ccccc3)CC2)n1|1|0.2|96|13|51.8|22.3|0|91.7|0|0|0|34.4|0|0|75.6|0|0||
|Nc1nccc(-c2c(-c3ccc(F)cc3)ncn2C2CCN(Cc3ccccc3)CC2)n1|1|2|92|17.8|58.9|18.6|0|95.3|0|3.9|0|39.3|0|0|82.7|0|0||
|CCOC(=O)N1CCC(n2cnc(-c3ccc(F)cc3)c2-c2ccnc(N)n2)CC1|1|2|97|10.9|54.6|20.8|0|88.3|0|16.9|0|48|0|0|79.5|0|0||
|CN(C)CCNS(=O)(=O)c1ccc(-c2ccnc3[nH]ccc23)cc1|1|2|108|20|60.2|0|0|51.3|0|0|0|0|0|0|67.4|0|0||
|Cc1cccc(-c2nc(Nc3ccncc3)c3sccc3n2)n1|1|0.2|101|8.3|0|0|54.7|0|52.9|29.5|32.4|2.9|53.7|43.2|0|56.5|29.1||
|Cc1cccc(-c2nc(Nc3ccncc3)c3sccc3n2)n1|1|2|102|10.9|0|0|68.3|0|69.7|0|41.6|0|66|49.8|0|62.4|35.6||
|CCNCC(Cc1ccccc1)NC(=O)c1cc(Br)c(-c2ccnc3[nH]ccc23)s1|1|0.2|85|26.6|52.9|0|5.5|52.2|10.9|23.5|35.4|46.8|0.6|9.5|22.8|17.1|34.2||
|CCNCC(Cc1ccccc1)NC(=O)c1cc(Br)c(-c2ccnc3[nH]ccc23)s1|1|2|64|71.5|0|34.5|51.6|0|66.4|10.1|54.7|15.3|50.6|42.4|0|52.3|13.5||
|Cc1c(Cn2c(C)nn3c(=O)cc(N4CCO[C@H](C)C4)nc23)cccc1C(F)(F)F|1|2|92|5.4|63.5|0|0|73.7|0|10.3|0.2|15.4|0|0.5|39.4|0|21.6||
|C[C@@H](Oc1cc(-n2cnc3ccc(OCC4CCN(C)CC4)cc32)sc1C(N)=O)c1ccccc1Cl|1|0.2|73|22.5|0|41.5|10.8|43.6|8|13.4|25.1|67.9|21.7|3.5|0|50.4|0||
|COc1cccc(-n2ncc3c(N/N=C/c4ccncc4)ncnc32)c1|1|2|101|53.9|0|0|81.7|0|76|18|63.2|22|49.8|79.7|0|84.8|56.3||
|NS(=O)(=O)c1ccc(/N=N\c2c(O)[nH]c3ccc4ncccc4c23)cc1|1|0.2|85|14.3|38.8|29.6|0|92.7|0|2.3|0|38.6|0|0|74.2|0|0||
|NS(=O)(=O)c1ccc(/N=N\c2c(O)[nH]c3ccc4ncccc4c23)cc1|1|2|60|42.7|49|9.1|0|69.4|0|14.1|0|9|0|0|55.5|0|0||
|COC(=O)Nc1nc2cc(Oc3ccc(NC(=O)Nc4cccc(Cl)c4)cc3)ccc2[nH]1|1|2|73|55.3|0|0|79.6|0|77.2|29.4|82.5|40.7|52.6|59.6|0|91.3|51.5||
|Cc1ccc2[nH]c(O)c(/N=N/c3ccc(S(N)(=O)=O)cc3)c2c1|1|2|94|13.8|57.8|18.9|0|85.9|0|0|0|5.5|0|0|83.7|0|0||
|COc1cc(Nc2nccc(Nc3ccc4c(C)[nH]nc4c3)n2)cc(OC)c1OC|1|2|99|26.6|15.3|0|61.8|0|64.3|42.7|57.1|7.4|31|57.4|0|54.9|62.6||
|C[C@@H](Oc1cc(-n2cnc3ccc(OCC4CCN(C)CC4)cc32)sc1C(N)=O)c1ccccc1C(F)(F)F|1|0.2|86|16.9|0|25.3|31.7|0|37.1|34.8|38.1|60.4|28.6|18.2|0|55.3|0||
|C[C@@H](Oc1cc(-n2cnc3ccc(OCC4CCN(C)CC4)cc32)sc1C(N)=O)c1ccccc1C(F)(F)F|1|2|58|61.3|0|32|59.8|0|71.7|27.7|79.3|34.5|42.2|40.3|0|64|20.1||
|CN(C)CCOc1ccc(-c2cc(-c3ccc4c(c3)CC/C4=N\O)c(-c3ccncc3)o2)cc1|1|0.2|88|21.2|0|0|73.3|0|72.7|24.7|83.4|43.4|34.8|42.6|0|71.9|45.2||
|CN(C)CCOc1ccc(-c2cc(-c3ccc4c(c3)CC/C4=N\O)c(-c3ccncc3)o2)cc1|1|2|93|78.4|0|0|81.3|0|80.2|18.1|95.9|43.6|42.9|53.5|0|76.8|49.6||
|COc1cc2ncn(-c3cc(OCc4ccccc4Cl)c(C(N)=O)s3)c2cc1OC|1|2|71|25.2|0|44.1|46.2|0|55|11.2|47.4|31.7|55.1|26.6|0|67.6|15||
|Clc1ccc(CNc2nccc(-c3cnn4ncccc34)n2)cc1|1|2|96|10.2|41.8|31.9|0|90.1|0|0|0|32.7|0|0|70.7|0|0||
|CN1CCC(n2cnc(-c3ccc(F)cc3)c2-c2ccnc(N)n2)CC1|1|2|88|21.4|52.6|21.2|0|88.6|0|13.5|0|56.4|0|0|76.7|0|0||
|O=C1Nc2ccc(C(=O)c3ccco3)cc2/C1=C\c1cc(Cl)c(O)c(Cl)c1|1|2|97|28|0|0|86.5|0|77.9|6.5|74.3|0.6|47.2|67.2|0|79|72.4||
|CC1=C(C(=O)Nc2cc(Cl)c3[nH]ncc3c2)C(c2ccc(C(F)(F)F)cc2)CC(=O)N1|1|2|98|6.2|56.6|0|0|62.9|0|1.6|0|9|0|0|54.4|0|6.4||
|C[C@@H](Oc1cc(-n2cnc3ccc(OC[C@@H](O)CO)cc32)sc1C(N)=O)c1ccccc1Cl|1|2|57|55.4|0|61.9|40.7|0|56.1|19|33.4|5.1|44.3|37.4|0|59.6|0.1||
|N#Cc1c(NC(=O)c2ccc(F)c3ccccc23)sc2c1CCCC2|1|2|78|38|0|3.9|79.6|0|80.8|10.9|65.6|0|69.8|53|0|87.6|45.6||
|CCCN(CCS(C)(=O)=O)Cc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1|1|2|95|9.2|16.9|0|16.4|0|19.3|48.6|43.6|72.1|0|17.8|0|21.4|1.5||
|CN1CCC(C(=O)Nc2[nH]nc3nc(-c4ccc(O)cc4)c(Br)cc23)CC1|1|0.2|106|5.2|0|17.3|23.9|0|7.3|6.1|12.6|35.4|19.2|0|0|49.6|0||
|CN1CCC(C(=O)Nc2[nH]nc3nc(-c4ccc(O)cc4)c(Br)cc23)CC1|1|2|86|46.8|8|0|22.3|30.2|7.9|14|27.4|60.1|22|0|0|59.4|25.9||
|CN(c1ccc(NC(=O)Nc2c(Cl)cccc2Cl)cc1)c1ccnc(Nc2cccc(CS(C)(=O)=O)c2)n1|1|2|76|27.8|12.2|78.8|0|63.2|0|14|0|8.9|0|0|61.8|0|0||
|COC(=O)Nc1nc2cc(Oc3ccc(NC(=O)Nc4cccc(Br)c4)cc3)ccc2[nH]1|1|2|93|24.7|0|0|78.8|0|74.6|23|73.9|7.8|44.7|60.3|0|84|48.3||
|CN1CCC(n2cnc(-c3ccc(F)cc3)c2-c2ccnc(NCCO)n2)CC1|1|2|104|10|59.4|0|0|71.1|0|6.8|2.8|45.8|0|0|53.7|0|0||
|COc1cc(Nc2nccc(-c3cnn4ncccc34)n2)cc(OC)c1|1|2|70|42.5|41.2|0|12.4|31.7|6.4|18.2|34|15.2|2.9|0|5.6|27.7|34.7||
|COc1cc2c(cc1Nc1nc(N3CCc4ccccc43)c3cc[nH]c3n1)N(C(=O)CN(C)C)CC2|1|2|95|5.9|8.7|0|45.2|16|45.2|33.9|70.9|63.5|8.4|33.4|0|63.2|51.7||
|CCc1cccc(NC(=O)Nc2ccc(Oc3ccc4[nH]c(NC(=O)OC)nc4c3)cc2)c1|1|2|74|29.9|0|1.7|59.3|0|52.1|42.8|60|45.1|24.8|42.8|0|87.3|41.7||
|COc1cccc(Nc2nccc(-c3cnn4ncccc34)n2)c1|1|0.2|82|11.7|50.2|0|0|66|0|10.3|32.8|64.6|0|0|34.1|19.5|6.7||
|COc1cccc(Nc2nccc(-c3cnn4ncccc34)n2)c1|1|2|61|41.8|18.8|0|22.1|17.5|15.9|13.2|36.2|19.6|17.6|0.4|0|36.5|31||
|COC(=O)Nc1nc2cc(Oc3ccc(NC(=O)Nc4ccccc4)cc3)ccc2[nH]1|1|2|55|63.2|0|35|67.1|0|76.5|32.3|54.9|10.9|53.6|58.4|0|83.5|30.9||
|c1cc(-c2cnn3nc(N4CCOCC4)ccc23)nc(NC2CC2)n1|1|0.2|103|6.7|4.7|0|0|0|0|0|0.1|0|23.2|0|10.9|0|0||
|COc1cc2c(cc1Nc1nc(Nc3ccsc3C(N)=O)c3cc[nH]c3n1)N(C(=O)CN(C)C)CCC2|1|2|55|36.3|0|55.2|37.5|0|51.7|33.8|44|45|38.9|29.7|0|57|3.9||
|CC(C)COC(=O)c1ccc2[nH]c(O)c(/C=N\c3ccc(S(N)(=O)=O)cc3)c2c1|1|0.2|98|12.1|33.6|28.2|0|92.4|0|0|0|45.9|0|0|74.1|0|0||
|CC(C)COC(=O)c1ccc2[nH]c(O)c(/C=N\c3ccc(S(N)(=O)=O)cc3)c2c1|1|2|78|40.1|42.9|37.5|0|93.3|0|1.1|0|18.5|0|0|84.8|0|0||
|COc1cc(N2CCN(C(C)C)CC2)ccc1Nc1nc(Nc2ccc(F)cc2C(N)=O)c2cc[nH]c2n1|1|0.2|98|7.6|52.4|0|17.5|10|30.2|46.9|32.6|57.5|11.1|34.5|7.4|16.9|49.9||
|COc1cc(N2CCN(C(C)C)CC2)ccc1Nc1nc(Nc2ccc(F)cc2C(N)=O)c2cc[nH]c2n1|1|2|96|32|75.5|0|1.5|28.8|11|34.5|35.6|47.9|0|6.3|22.7|0|39.7||
TCS JNK 5a|N#Cc1c(NC(=O)c2cccc3ccccc23)sc2c1CCCC2|1|2|55|61.5|0|36.5|65.8|0|76.4|21.1|54.7|0|62.2|46.4|0|82.8|25||
TCS JNK 5a|N#Cc1c(NC(=O)c2cccc3ccccc23)sc2c1CCCC2|2|0.2|77|37.7|0|0.9|70.8|0|69.3|17.5|67.4|4.6|62.2|40|0|91.1|46.3||
TCS JNK 5a|N#Cc1c(NC(=O)c2cccc3ccccc23)sc2c1CCCC2|2|2|50|76.5|0|8.4|74.1|0|81.6|34.8|69.4|5.7|58.4|62.2|0|83.4|50.3||
TCS JNK 5a|N#Cc1c(NC(=O)c2cccc3ccccc23)sc2c1CCCC2|3|0.2|62|73.7|0|21.7|71.7|0|73.5|30.9|68.8|23.8|50.7|58.6|0|90.9|41.1||
