Trivial name|Smiles|Batch No|Conc uM|Relative cell count|Induction|Cluster AKT/PI3K/MTOR|Cluster Aurora|Cluster BET|Cluster DNA synthesis|Cluster HDAC|Cluster HSP90|Cluster L/CH|Cluster MitoStress|Cluster Na+/K+ ATPase|Cluster Protein synthesis|Cluster Pyrimidine synthesis|Cluster Tubulin|Cluster Uncoupling||
Xylometazoline (hydrochloride)|Cc1cc(C(C)(C)C)cc(C)c1CC1=NCCN1|2|30|102|16.8|0|0|75.1|0|72.7|4.2|93.3|29.9|39.6|44.9|0|70.2|46.9||
Xylometazoline (hydrochloride)|Cc1cc(C(C)(C)C)cc(C)c1CC1=NCCN1|3|10|103|5|0|0|46.6|0|48.9|0|57.2|0|33.8|0|0|26.1|25.8||
Xylometazoline (hydrochloride)|Cc1cc(C(C)(C)C)cc(C)c1CC1=NCCN1|3|30|102|15.2|0|0|67.4|0|61|0|88.9|36.2|32.9|22.7|0|55.1|26.8||
Hycanthone|CCN(CC)CCNc1ccc(CO)c2sc3ccccc3c(=O)c12|2|3|86|15.4|24.7|45.2|0|82.3|0|2.7|0|45|0|0|66.4|0|0||
Hycanthone|CCN(CC)CCNc1ccc(CO)c2sc3ccccc3c(=O)c12|2|10|66|56|0|12.7|33.3|33.6|37.1|3.5|72.5|52.9|6.6|1.3|0|41.1|13.2||
Clozapine|CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1|2|10|103|18|0|0|83.8|0|80.4|20.1|85.6|25.5|45.4|59.1|0|78.2|59.9||
Clozapine|CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1|2|30|102|72.9|0|0|72.5|0|71.4|22.5|89.1|55.4|23.9|48.4|0|68.1|49.5||
Clozapine|CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1|3|10|110|7.8|0|0|75.5|0|69.6|5.9|79.2|6.8|42.8|33.3|0|64.9|51.7||
Clozapine|CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1|3|30|93|66|0|0|76.7|0|76.5|28.4|92.4|46.4|32.9|51.7|0|71.7|48.3||
Tolnaftate|Cc1cccc(N(C)C(=S)Oc2ccc3ccccc3c2)c1|2|30|104|15.9|6.2|12.5|0|17.1|0|37.4|13.9|53.6|0|0|22.3|11.3|0||
Procyclidine (hydrochloride)|OC(CCN1CCCC1)(c1ccccc1)C1CCCCC1|2|10|105|5.7|0|0|61.4|0|53.8|20.5|57.1|37|29.3|50.7|0|59.9|44.5||
Procyclidine (hydrochloride)|OC(CCN1CCCC1)(c1ccccc1)C1CCCCC1|2|30|96|40.6|0|0|72.1|0|77.2|32.8|81.6|47|27.3|51.6|0|67.5|48||
Niclosamide|O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O|2|3|82|49.6|19.9|0|57.9|0|61.9|26.8|47|11.2|33.7|71|0|55.7|79.7||
Niclosamide|O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O|2|10|75|40.4|12|0|64.6|0|67.5|24.9|43.7|0|44.7|59|0|52.9|80.5||
Niclosamide|O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O|3|10|92|17.8|24.4|0|45.3|0|51.7|33.6|26.9|0|33.8|47.6|0|36.5|72.6||
Niclosamide|O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O|3|30|74|65.6|1.5|0|76.7|0|72.4|27.6|57.9|9.4|50.8|70.1|0|73.2|86.6||
Emodin|Cc1cc(O)c2c(c1)C(=O)c1cc(O)cc(O)c1C2=O|5|2|96|7.4|1.7|0|0|0|0|0|0|0|19.3|0|20.8|0|0||
Haloperidol|O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1|1|3|89|6|0|0|60.3|0|77.4|23.2|52.8|27.7|34.2|58.5|0|77.8|30.5||
Haloperidol|O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1|2|10|101|56.5|0|0|79.9|0|78.1|16.6|94.9|39|38.1|52.5|0|75.1|46.3||
Haloperidol|O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1|3|10|93|68.4|0|0|82.7|0|80.2|7.3|95.3|24.7|38.9|55.5|0|72.1|47.3||
Haloperidol|O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1|3|30|97|62|0|0|76|0|74.4|18.5|94.7|52.8|34.1|45.8|0|70.6|39.5||
Norcantharidin|O=C1OC(=O)C2C3CCC(O3)C12|2|10|92|7.8|0|0|66.2|0|66|0|58.1|11.6|50.1|47.4|0|59|30.3||
Norcantharidin|O=C1OC(=O)C2C3CCC(O3)C12|2|30|115|40.6|0|0|78.2|0|71.5|0|62.5|32.3|52.4|65.2|0|78.7|33.7||
|CCCCCC(=O)c1c(O)c(-c2ccc(O)cc2)c[nH]c1=O|2|50|100|5|68.9|0|0|47.6|0|30.8|0|0|0|0|51.6|0|2.9||
Azaguanine-8|Nc1nc2[nH]nnc2c(=O)[nH]1|1|10|79|30.2|0|45|0|43.2|0|0|0|3.8|17.9|0|26.5|0|0||
Alexidine dihydrochloride|CCCCC(CC)CNC(=N)NC(=N)NCCCCCCNC(=N)NC(=N)NCC(CC)CCCC|1|1|97|8.8|0|0|39.9|0|35.4|27.8|41.7|66.7|19.9|34.1|0|48.8|15.8||
Alexidine dihydrochloride|CCCCC(CC)CNC(=N)NC(=N)NCCCCCCNC(=N)NC(=N)NCC(CC)CCCC|1|3|86|33.2|0|0|31.6|3.1|21.8|0|7.9|0|25|56.8|0|38.1|43.6||
Erlotinib|C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1|1|2|96|15.4|77.2|0|0|75.9|0|10.5|0|35.4|0|0|66.5|0|0||
Erlotinib|C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1|1|10|91|33|86.2|0|0|84.1|0|16.3|0|30.7|0|0|72.8|0|0||
Erlotinib|C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1|1|30|76|38|55.7|0|5.4|53.4|2.9|37.5|57.8|54.2|0|0|16.8|25.7|23.9||
Calcipotriene|C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)/C=C/[C@@H](O)C4CC4)CC[C@@H]23)C[C@@H](O)C[C@@H]1O|1|30|92|10.9|42.2|0|8.7|22|3|37.5|41.6|65.1|0|20.3|0|20.9|11||
Cloperastine hydrochloride|Clc1ccc(C(OCCN2CCCCC2)c2ccccc2)cc1|1|10|100|27.6|0|0|74.7|0|73.1|23.4|90.4|34.7|27.3|53.1|0|65.5|52.4||
Cloperastine hydrochloride|Clc1ccc(C(OCCN2CCCCC2)c2ccccc2)cc1|1|30|93|77.7|0|0|74.9|0|71.7|17.3|89.4|55.7|26.9|52.8|0|69.3|57.5||
Hexestrol|CCC(c1ccc(O)cc1)C(CC)c1ccc(O)cc1|1|30|85|11.6|0|0|68.9|0|67|8.6|66.8|0|45.4|24.9|0|78.2|36.5||
Monensin A sodium salt, Rumensin, Coban 45|CC[C@@]1([C@@H]2O[C@@H]([C@H]3O[C@@](O)(CO)[C@H](C)C[C@@H]3C)C[C@@H]2C)CC[C@H]([C@]2(C)CC[C@]3(C[C@H](O)[C@@H](C)[C@@H]([C@@H](C)[C@@H](OC)[C@H](C)C(=O)O)O3)O2)O1|1|1|95|77.5|0|0|72.8|0|74.3|26.3|71.9|58.9|41.3|65.2|0|72.7|65.6||
