Trivial Name|BatchNo|Conc uM|Smiles|Rel Cell Count|Induction|Cluster AKT/PI3K/MTOR|Cluster Aurora|Cluster BET|Cluster DNA Synthesis|Cluster HDAC|Cluster HSP90|Cluster L/CH|Cluster Na+/K+ ATPase|Cluster Protein Synthesis|Cluster Pyrimidine Synthesis|Cluster Tubulin|Cluster Uncoupling
Colchicine|3|0.03|COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2|80|23.0|0.0|30.1|19.2|0.0|43.7|57.9|11.9|33.2|32.8|0.0|38.4|13.3
Colchicine|3|0.1|COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2|51|55.8|0.0|13.9|51.6|0.0|63.9|48.0|50.6|36.0|60.7|0.0|60.7|48.9
Berberine (chloride hydrate)|2|10.0|COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2|93|18.1|3.8|9.2|0.0|31.5|0.0|29.2|5.5|0.0|3.9|29.1|8.3|0.0
Berberine (chloride hydrate)|2|30.0|COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2|91|25.4|0.9|5.0|3.8|12.6|0.0|23.8|21.4|7.4|12.7|0.0|17.2|0.0
Berberine (chloride hydrate)|2|50.0|COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2|97|31.8|1.9|6.3|0.0|21.1|0.0|23.0|17.8|3.4|8.6|6.9|13.8|0.0
Perphenazine|1|3.0|OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1|91|10.7|0.0|0.0|77.5|0.0|78.6|18.4|87.0|40.3|52.6|0.0|75.8|43.0
Perphenazine|2|10.0|OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1|102|54.4|0.0|0.0|84.6|0.0|83.3|14.2|93.4|44.7|56.9|0.0|74.8|56.3
Perphenazine|3|10.0|OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1|85|79.1|0.0|0.0|86.4|0.0|82.5|3.6|90.6|44.8|57.3|0.0|77.0|61.1
Oxybutynin Chloride|2|10.0|CCN(CC)CC#CCOC(=O)C(O)(c1ccccc1)C1CCCCC1|105|7.3|0.0|0.0|53.1|0.1|46.9|0.0|77.6|14.6|13.2|0.0|57.7|35.8
Oxybutynin Chloride|2|30.0|CCN(CC)CC#CCOC(=O)C(O)(c1ccccc1)C1CCCCC1|94|42.8|0.0|0.0|73.3|0.0|70.7|19.2|93.8|35.4|46.1|0.0|72.3|49.4
Oxybutynin Chloride|3|10.0|CCN(CC)CC#CCOC(=O)C(O)(c1ccccc1)C1CCCCC1|103|7.3|0.0|0.0|70.4|0.0|67.3|10.0|85.2|26.6|43.7|0.0|62.7|41.5
Oxybutynin Chloride|3|30.0|CCN(CC)CC#CCOC(=O)C(O)(c1ccccc1)C1CCCCC1|104|77.2|0.0|0.0|69.2|0.0|69.3|31.8|83.6|25.3|51.9|0.0|69.2|44.8
Flunarizine dihydrochloride|2|10.0|Fc1ccc(C(c2ccc(F)cc2)N2CCN(C/C=C/c3ccccc3)CC2)cc1|107|6.2|0.0|0.0|60.7|0.0|55.6|10.6|72.7|20.4|38.4|0.0|59.6|40.4
Flunarizine dihydrochloride|2|30.0|Fc1ccc(C(c2ccc(F)cc2)N2CCN(C/C=C/c3ccccc3)CC2)cc1|100|40.1|0.0|0.0|63.8|0.0|55.9|1.2|89.3|18.5|29.6|0.0|55.5|33.8
Flunarizine dihydrochloride|3|10.0|Fc1ccc(C(c2ccc(F)cc2)N2CCN(C/C=C/c3ccccc3)CC2)cc1|99|15.9|0.0|0.0|35.3|0.0|31.5|23.1|59.1|0.0|21.3|0.0|39.1|0.0
Flunarizine dihydrochloride|3|30.0|Fc1ccc(C(c2ccc(F)cc2)N2CCN(C/C=C/c3ccccc3)CC2)cc1|100|51.5|0.0|0.0|57.6|0.0|55.0|23.0|73.7|19.5|38.8|0.0|57.7|31.4
Xylometazoline (hydrochloride)|2|30.0|Cc1cc(C(C)(C)C)cc(C)c1CC1=NCCN1|102|16.8|0.0|0.0|75.1|0.0|72.7|4.2|93.3|39.6|44.9|0.0|70.2|46.9
Xylometazoline (hydrochloride)|3|10.0|Cc1cc(C(C)(C)C)cc(C)c1CC1=NCCN1|103|5.0|0.0|0.0|46.6|0.0|48.9|0.0|57.2|33.8|0.0|0.0|26.1|25.8
Xylometazoline (hydrochloride)|3|30.0|Cc1cc(C(C)(C)C)cc(C)c1CC1=NCCN1|102|15.2|0.0|0.0|67.4|0.0|61.0|0.0|88.9|32.9|22.7|0.0|55.1|26.8
Hycanthone|2|3.0|CCN(CC)CCNc1ccc(CO)c2sc3ccccc3c(=O)c12|86|15.4|24.7|45.2|0.0|82.3|0.0|2.7|0.0|0.0|0.0|66.4|0.0|0.0
Hycanthone|2|10.0|CCN(CC)CCNc1ccc(CO)c2sc3ccccc3c(=O)c12|66|56.0|0.0|12.7|33.3|33.6|37.1|3.5|72.5|6.6|1.3|0.0|41.1|13.2
Clozapine|2|10.0|CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1|103|18.0|0.0|0.0|83.8|0.0|80.4|20.1|85.6|45.4|59.1|0.0|78.2|59.9
Clozapine|2|30.0|CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1|102|72.9|0.0|0.0|72.5|0.0|71.4|22.5|89.1|23.9|48.4|0.0|68.1|49.5
Clozapine|3|10.0|CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1|110|7.8|0.0|0.0|75.5|0.0|69.6|5.9|79.2|42.8|33.3|0.0|64.9|51.7
Clozapine|3|30.0|CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1|93|66.0|0.0|0.0|76.7|0.0|76.5|28.4|92.4|32.9|51.7|0.0|71.7|48.3
Tolnaftate|2|30.0|Cc1cccc(N(C)C(=S)Oc2ccc3ccccc3c2)c1|104|15.9|6.2|12.5|0.0|17.1|0.0|37.4|13.9|0.0|0.0|22.3|11.3|0.0
Procyclidine (hydrochloride)|2|10.0|OC(CCN1CCCC1)(c1ccccc1)C1CCCCC1|105|5.7|0.0|0.0|61.4|0.0|53.8|20.5|57.1|29.3|50.7|0.0|59.9|44.5
Procyclidine (hydrochloride)|2|30.0|OC(CCN1CCCC1)(c1ccccc1)C1CCCCC1|96|40.6|0.0|0.0|72.1|0.0|77.2|32.8|81.6|27.3|51.6|0.0|67.5|48.0
Niclosamide|2|3.0|O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O|82|49.6|19.9|0.0|57.9|0.0|61.9|26.8|47.0|33.7|71.0|0.0|55.7|79.7
Niclosamide|2|10.0|O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O|75|40.4|12.0|0.0|64.6|0.0|67.5|24.9|43.7|44.7|59.0|0.0|52.9|80.5
Niclosamide|3|10.0|O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O|92|17.8|24.4|0.0|45.3|0.0|51.7|33.6|26.9|33.8|47.6|0.0|36.5|72.6
Niclosamide|3|30.0|O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O|74|65.6|1.5|0.0|76.7|0.0|72.4|27.6|57.9|50.8|70.1|0.0|73.2|86.6
Emodin|5|2.0|Cc1cc(O)c2c(c1)C(=O)c1cc(O)cc(O)c1C2=O|96|7.4|1.7|0.0|0.0|0.0|0.0|0.0|0.0|19.3|0.0|20.8|0.0|0.0
Haloperidol|1|3.0|O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1|89|6.0|0.0|0.0|60.3|0.0|77.4|23.2|52.8|34.2|58.5|0.0|77.8|30.5
Haloperidol|2|10.0|O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1|101|56.5|0.0|0.0|79.9|0.0|78.1|16.6|94.9|38.1|52.5|0.0|75.1|46.3
Haloperidol|3|10.0|O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1|93|68.4|0.0|0.0|82.7|0.0|80.2|7.3|95.3|38.9|55.5|0.0|72.1|47.3
Haloperidol|3|30.0|O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1|97|62.0|0.0|0.0|76.0|0.0|74.4|18.5|94.7|34.1|45.8|0.0|70.6|39.5
Norcantharidin|2|10.0|O=C1OC(=O)C2C3CCC(O3)C12|92|7.8|0.0|0.0|66.2|0.0|66.0|0.0|58.1|50.1|47.4|0.0|59.0|30.3
Norcantharidin|2|30.0|O=C1OC(=O)C2C3CCC(O3)C12|115|40.6|0.0|0.0|78.2|0.0|71.5|0.0|62.5|52.4|65.2|0.0|78.7|33.7
|2|50.0|CCCCCC(=O)c1c(O)c(-c2ccc(O)cc2)c[nH]c1=O|100|5.0|68.9|0.0|0.0|47.6|0.0|30.8|0.0|0.0|0.0|51.6|0.0|2.9
Azaguanine-8|1|10.0|Nc1nc2[nH]nnc2c(=O)[nH]1|79|30.2|0.0|45.0|0.0|43.2|0.0|0.0|0.0|17.9|0.0|26.5|0.0|0.0
Alexidine dihydrochloride|1|1.0|CCCCC(CC)CNC(=N)NC(=N)NCCCCCCNC(=N)NC(=N)NCC(CC)CCCC|97|8.8|0.0|0.0|39.9|0.0|35.4|27.8|41.7|19.9|34.1|0.0|48.8|15.8
Alexidine dihydrochloride|1|3.0|CCCCC(CC)CNC(=N)NC(=N)NCCCCCCNC(=N)NC(=N)NCC(CC)CCCC|86|33.2|0.0|0.0|31.6|3.1|21.8|0.0|7.9|25.0|56.8|0.0|38.1|43.6
Erlotinib|1|2.0|C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1|96|15.4|77.2|0.0|0.0|75.9|0.0|10.5|0.0|0.0|0.0|66.5|0.0|0.0
Erlotinib|1|10.0|C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1|91|33.0|86.2|0.0|0.0|84.1|0.0|16.3|0.0|0.0|0.0|72.8|0.0|0.0
Erlotinib|1|30.0|C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1|76|38.0|55.7|0.0|5.4|53.4|2.9|37.5|57.8|0.0|0.0|16.8|25.7|23.9
Calcipotriene|1|30.0|C=C1/C(=C\C=C2/CCC[C@@]3(C)[C@H]2CC[C@@H]3[C@H](C)/C=C/[C@@H](O)C2CC2)C[C@@H](O)C[C@@H]1O|92|10.9|42.2|0.0|8.7|22.0|3.0|37.5|41.6|0.0|20.3|0.0|20.9|11.0
Cloperastine hydrochloride|1|10.0|Clc1ccc(C(OCCN2CCCCC2)c2ccccc2)cc1|100|27.6|0.0|0.0|74.7|0.0|73.1|23.4|90.4|27.3|53.1|0.0|65.5|52.4
Cloperastine hydrochloride|1|30.0|Clc1ccc(C(OCCN2CCCCC2)c2ccccc2)cc1|93|77.7|0.0|0.0|74.9|0.0|71.7|17.3|89.4|26.9|52.8|0.0|69.3|57.5
